Регион,Координаты
Анапа,"[44.8950,37.3163]"
Биробиджан,"[48.7946,132.9218]"
Калининградская область,"[54.7104,20.4522]"
Видное,"[55.5518,37.7062]"
Бердск,"[54.7566,83.0967]"
Троицк,"[55.4849,37.3073]"
Ханты-Мансийск,"[61.0032,69.0189]"
Ташкент,"[41.2995,69.2401]"
Чайковский,"[56.7735,54.1148]"
Талгарский район,"[43.3026,77.2409]"
Старый Оскол,"[51.2968,37.8417]"
Калининград,"[54.7104,20.4522]"
Майкоп,"[44.6098,40.1005]"
Шымкент,"[42.3000,69.6000]"
Пятигорск,"[44.0416,43.0731]"
Пушкинский район,"[56.0104,37.8474]"
Мытищи (городской округ),"[55.9106,37.7367]"
Новочебоксарск,"[56.1214,47.4925]"
Первоуральск,"[56.9081,59.9429]"
Серпухов,"[54.9139,37.4119]"
Республика Ингушетия,"[43.1155,45.0000]"
Туапсинский район,"[44.0944,39.0795]"
Бахчисарайский район,"[44.7522,33.8608]"
Приморский край,"[43.1155,131.8855]"
Верхняя Пышма,"[56.9675,60.5827]"
Тульская область,"[54.1931,37.6173]"
Петропавловск,"[54.8728,69.1377]"
Астана,"[51.1282,71.4307]"
Караганда,"[49.8047,73.1036]"
Зеленоградск,"[54.9600,20.4864]"
Пушкино,"[56.0104,37.8474]"
Атырау,"[47.1076,51.9167]"
Илийский район,"[43.6768,76.8897]"
Дубна,"[56.7440,37.1668]"
Щербинка,"[55.5007,37.5696]"
Таджикистан,"[38.8610,71.2761]"
Абакан,"[53.7222,91.4437]"
Губкин,"[51.2838,37.5459]"
Ноябрьск,"[63.2018,75.4513]"
Акмолинская область,"[51.9167,69.4167]"
Котлас,"[61.2540,46.6517]"
Железногорск,"[52.3378,35.3519]"
Избербаш,"[42.5656,47.8714]"
Павловский район,"[55.6848,38.6596]"
Сарыагашский район,"[41.4625,69.1700]"
Кабардино-Балкарская Республика,"[43.4847,43.6071]"
Рубцовск,"[51.5147,81.2061]"
Конаковский район,"[56.7000,36.7667]"
Республика Мордовия,"[54.1874,45.1839]"
Нягань,"[62.1406,65.3936]"
Шадринск,"[56.0836,63.6333]"
Экибастуз,"[51.7298,75.3266]"
Урай,"[60.1325,64.8034]"
Серов,"[59.6045,60.5753]"
Анжеро-Судженск,"[56.0839,86.0276]"
Переславль-Залесский,"[56.7385,38.8562]"
Каменск-Шахтинский,"[48.3177,40.2595]"
Костромская область,"[57.7678,40.9269]"
Красноперекопск,"[45.9550,33.7994]"
Нерюнгри,"[56.6606,124.7203]"
Великий Устюг,"[60.7604,46.3058]"
Находка,"[42.8136,132.8735]"
Стрежевой,"[60.7325,77.6046]"
Кириши,"[59.4498,32.0087]"
Ишимбай,"[53.4544,56.0415]"
Сатка,"[55.0426,59.0401]"
Колпинский район,"[59.7467,30.6026]"
Зеленоград,"[55.9925,37.1904]"
Златоуст,"[55.1711,59.6724]"
Иваново,"[57.0004,40.9739]"
Ивантеевка,"[55.9711,37.9208]"
Инта,"[66.0398,60.1317]"
Иркутская область,"[52.2864,104.2807]"
Искитим,"[54.6366,83.3045]"
Истра,"[55.9197,36.8631]"
Истра (городской округ),"[55.9197,36.8631]"
Ишим,"[56.1104,69.4902]"
Ишимбайский район,"[53.4544,56.0415]"
Кавказский район,"[45.4333,40.5667]"
Казыгуртский район,"[41.7500,69.3833]"
Каменск-Уральский,"[56.4149,61.9189]"
Камчатский край,"[53.0234,158.6509]"
Камышин,"[50.0833,45.4000]"
Кандалакша,"[67.1569,32.4113]"
Кандалакшский район,"[67.1569,32.4113]"
Караганда и область,"[49.8047,73.1036]"
Карасайский район,"[43.2000,76.9000]"
Карасук,"[53.7333,78.0333]"
Карачаево-Черкесская Республика,"[43.9167,41.9167]"
Каргасок,"[59.0556,80.8572]"
Карши,"[38.8616,65.7846]"
Касимов,"[54.9333,41.4000]"
Каспийск,"[42.8833,47.6333]"
Качканар,"[58.7000,59.4833]"
Кашира,"[54.8333,38.1500]"
Кашира (городской округ),"[54.8333,38.1500]"
Кашкадарьинская область,"[38.8616,65.7846]"
Кемеровская область (Кузбасс),"[55.3545,86.0883]"
Керчь,"[45.3561,36.4674]"
Кизляр,"[43.8500,46.7167]"
Кимры,"[56.8667,37.3500]"
Кингисепп,"[59.3733,28.6139]"
Кингисеппский район,"[59.3733,28.6139]"
Кинешма,"[57.4500,42.1500]"
Киржач,"[56.1486,38.8664]"
Киржачский район,"[56.1486,38.8664]"
Киришский район,"[59.4498,32.0087]"
Кирово-Чепецк,"[58.5539,50.0396]"
Кировск,"[59.8756,30.9815]"
Кировская область,"[58.6036,49.6680]"
Кировский район,"[59.8756,30.9815]"
Киселёвск,"[53.9900,86.6621]"
Клин,"[56.3333,36.7167]"
Клин (городской округ),"[56.3333,36.7167]"
Клинцы,"[52.7525,32.2364]"
Ковров,"[56.3572,41.3192]"
Когалым,"[62.2654,74.4791]"
Кокшетау,"[53.2833,69.3833]"
Коломна,"[55.0794,38.7783]"
Колпашево,"[58.3167,82.9167]"
Колпино,"[59.7500,30.5833]"
Комсомольск-на-Амуре,"[50.5500,137.0000]"
Конаково,"[56.7000,36.7667]"
Кондопога,"[62.2000,34.2667]"
Кондопожский район,"[62.2000,34.2667]"
Копейск,"[55.1167,61.6167]"
Кордайский район,"[43.0000,75.0000]"
Королёв,"[55.9167,37.8167]"
Костанай,"[53.2167,63.6333]"
Костанай и область,"[53.2167,63.6333]"
Костомукша,"[64.5833,30.6000]"
Красноармейск,"[56.1000,38.1333]"
Красногорск,"[55.8167,37.3333]"
Красногорск (городской округ),"[55.8167,37.3333]"
Краснодарский край,"[45.0355,38.9753]"
Краснознаменск,"[54.9500,22.5000]"
Краснотурьинск,"[59.7667,60.2000]"
Красноуфимск,"[56.6167,57.7667]"
Кропоткин,"[45.4333,40.5667]"
Крымск,"[44.9333,38.0000]"
Крымский район,"[44.9333,38.0000]"
Кстово,"[56.1500,44.2000]"
Кстовский район,"[56.1500,44.2000]"
Кубинка,"[55.5667,36.7000]"
Кузнецк,"[53.1167,46.6000]"
Кумертау,"[52.7667,55.7833]"
Курганская область,"[55.4408,65.3411]"
Курск,"[51.7167,36.1833]"
Курская область,"[51.7167,36.1833]"
Курчатов,"[51.6667,35.6500]"
Кушва,"[58.2833,59.7333]"
Кызылорда и область,"[44.8488,65.4823]"
Лангепас,"[61.2500,75.1667]"
Ленинский район,"[55.5500,37.4500]"
Ленинск-Кузнецкий,"[54.6500,86.1667]"
Лесной,"[58.6333,59.7833]"
Липецк,"[52.6167,39.6000]"
Лобня,"[56.0167,37.4833]"
Лосино-Петровский,"[55.8667,38.2000]"
Луга,"[58.7333,29.8500]"
Лужский район,"[58.7333,29.8500]"
Луховицы,"[54.9667,39.0167]"
Луховицы (городской округ),"[54.9667,39.0167]"
Лысьва,"[58.1000,57.8000]"
Лыткарино,"[55.5833,37.9000]"
Люберцы,"[55.6833,37.8833]"
Люберцы (городской округ),"[55.6833,37.8833]"
Магадан,"[59.5667,150.8000]"
Магаданская область,"[59.5667,150.8000]"
Магас,"[43.1667,44.8167]"
Магнитогорск,"[53.3833,59.0333]"
Мактааральский район,"[40.6667,68.5000]"
Малоярославец,"[55.0000,36.4667]"
Малоярославецкий район,"[55.0000,36.4667]"
Маркс,"[51.7000,46.7500]"
Махачкала,"[42.9833,47.5000]"
Мегион,"[61.0500,76.1000]"
Междуреченск,"[53.6833,88.0667]"
Мелеуз,"[52.9500,55.9333]"
Мелеузовский район,"[52.9500,55.9333]"
Миасс,"[55.0500,60.1000]"
Минеральные Воды,"[44.2000,43.1333]"
Минусинск,"[53.7000,91.6833]"
Михайловка,"[50.0667,43.2333]"
Мичуринск,"[52.9000,40.5000]"
Можайск,"[55.5000,36.0333]"
Можайский (городской округ),"[55.5000,36.0333]"
Мончегорск,"[67.9333,32.9167]"
Мунайлинский район,"[43.5000,51.7500]"
Мурманск,"[68.9667,33.0833]"
Мурманская область,"[68.9667,33.0833]"
Муром,"[55.5667,42.0333]"
Мыски,"[53.7000,87.9333]"
Мышкин,"[57.7833,38.4500]"
Набережные Челны,"[55.7000,52.3333]"
Надым,"[65.5333,72.5167]"
Надымский район,"[65.5333,72.5167]"
Назрань,"[43.2167,44.7667]"
Наманган,"[40.9833,71.5833]"
Наманганская область,"[40.9833,71.5833]"
Наро-Фоминск,"[55.3833,36.7333]"
Наро-Фоминский городской округ,"[55.3833,36.7333]"
Нахабино,"[55.8333,37.1833]"
Невельск,"[46.6500,141.8667]"
Невинномысск,"[44.6333,41.9333]"
Невьянск,"[57.4833,60.2000]"
Нерюнгринский район,"[56.6606,124.7203]"
Нефтеюганск,"[61.1000,72.6000]"
Нижегородская область,"[56.3269,44.0059]"
Нижневартовск,"[60.9333,76.5667]"
Нижнекамск,"[55.6333,51.8167]"
Нижнеудинск,"[54.9000,99.0167]"
Нижнеудинский район,"[54.9000,99.0167]"
Нижний Тагил,"[57.9167,59.9667]"
Нижняя Тура,"[58.6333,59.8500]"
Новгородская область,"[58.5260,31.2750]"
Новоалтайск,"[53.4000,83.9333]"
Новодвинск,"[64.4167,40.8167]"
Новокуйбышевск,"[53.1000,49.9167]"
Новомосковск,"[54.0333,38.2667]"
Новороссийск,"[44.7167,37.7667]"
Новосибирская область,"[55.0084,82.9357]"
Новотроицк,"[51.2000,58.3000]"
Новоульяновск,"[54.1500,48.3833]"
Новоуральск,"[57.2500,60.0833]"
Новочеркасск,"[47.4167,40.0833]"
Новошахтинск,"[47.7667,39.9167]"
Новый Уренгой,"[66.0833,76.6333]"
Ногинск,"[55.8500,38.4333]"
Норильск,"[69.3333,88.2167]"
Нукус,"[42.4667,59.6000]"
Область Арагацотн,"[40.3000,44.4000]"
Область Арарат,"[39.9167,44.7167]"
Область Армавир,"[40.1500,44.0333]"
Область Гехаркуник,"[40.3000,45.1667]"
Область Жетысу,"[45.0000,78.0000]"
Область Котайк,"[40.4000,44.7000]"
Область Сюник,"[39.5000,46.1667]"
Одинцово,"[55.6784,37.2777]"
Озёрск,"[55.7500,38.5500]"
Октябрьский,"[54.4833,53.4667]"
Оленегорск,"[68.1500,33.2833]"
Омская область,"[54.9914,73.3645]"
Ордабасинский район,"[42.5000,69.7500]"
Орёл,"[52.9667,36.0833]"
Орехово-Зуево,"[55.8000,38.9667]"
Орловская область,"[52.9667,36.0833]"
Орск,"[51.2000,58.5667]"
Осташков,"[57.1500,33.1000]"
Павлово,"[55.9667,43.0833]"
Павловский Посад,"[55.7833,38.6500]"
Павловский Посад (городской округ),"[55.7833,38.6500]"
Павлодар и область,"[52.3005,76.9536]"
Панфиловский район,"[44.1667,80.0000]"
Пензенская область,"[53.1950,45.0183]"
Петропавловск-Камчатский,"[53.0167,158.6500]"
Петушинский район,"[55.9333,39.4667]"
Печора,"[65.1167,57.1167]"
Пионерский,"[54.9500,20.2167]"
Поволжье,"[53.0000,50.0000]"
Подпорожский район,"[60.8667,34.1667]"
Подпорожье,"[60.8667,34.1667]"
Покров,"[55.9167,39.1667]"
Полевской,"[56.4500,60.1833]"
Полысаево,"[54.6000,86.2833]"
Приозерск,"[61.0333,30.1167]"
Приозерский район,"[61.0333,30.1167]"
Прокопьевск,"[53.8833,86.7167]"
Протвино,"[54.8667,37.2167]"
Псков,"[57.8167,28.3333]"
Псковская область,"[57.8167,28.3333]"
Пушкин,"[59.7167,30.4000]"
Пущино,"[54.8333,37.6167]"
Пыть-Ях,"[60.7500,72.7833]"
Радужный,"[62.1333,77.4667]"
Район Печора,"[65.1167,57.1167]"
Раменское,"[55.5667,38.2167]"
Ревда,"[56.8000,59.9167]"
Реж,"[57.3667,61.4000]"
Республика Адыгея,"[44.6098,40.1005]"
Республика Алтай,"[51.7191,94.4378]"
Республика Бурятия,"[52.0333,107.5833]"
Республика Калмыкия,"[46.3333,44.2500]"
Республика Каракалпакстан,"[43.0000,59.0000]"
Республика Карелия,"[61.7850,34.3468]"
Республика Коми,"[61.6764,50.8099]"
Республика Марий Эл,"[56.6344,47.8999]"
Республика Саха (Якутия),"[62.0278,129.7315]"
Республика Северная Осетия ? Алания,"[43.0000,44.6667]"
Республика Татарстан,"[55.7961,49.1064]"
Республика Тыва,"[51.7191,94.4378]"
Республика Хакасия,"[53.7222,91.4437]"
Реутов,"[55.7500,37.8667]"
Ржев,"[56.2667,34.3333]"
Россошанский район,"[50.2000,39.5833]"
Россошь,"[50.2000,39.5833]"
Рудный,"[52.9667,63.1167]"
Руза,"[55.7000,36.1833]"
Рузаевка,"[54.0667,44.9500]"
Рузский городской округ,"[55.7000,36.1833]"
Рыбинск,"[58.0500,38.8333]"
Сайрамский район,"[42.3000,69.7500]"
Салават,"[53.3667,55.9333]"
Салехард,"[66.5333,66.6333]"
Сарапул,"[56.4763,53.7976]"
Саратовская область,"[51.5336,46.0342]"
Саров,"[54.9358,43.3235]"
Саткинский район,"[55.0405,59.0289]"
Сахалинская область,"[46.9591,142.7380]"
Свободный,"[51.3756,128.1404]"
Севастополь,"[44.6167,33.5254]"
Северный Кавказ,"[43.7368,42.6603]"
Северобайкальск,"[55.6366,109.3216]"
Северодвинск,"[64.5635,39.8302]"
Северо-Запад,"[59.9343,30.3351]"
Северо-Казахстанская область,"[54.8752,69.1628]"
Североуральск,"[60.1533,59.9525]"
Северск,"[56.6032,84.8808]"
Сегежа,"[63.7317,34.3100]"
Сегежский район,"[63.7317,34.3100]"
Семей,"[50.4113,80.2275]"
Сергиево-Посадский район,"[56.3100,38.1333]"
Сергиев Посад,"[56.3100,38.1333]"
Сибай,"[52.7183,58.6667]"
Сибирь,"[61.0081,99.5056]"
Симферополь,"[44.9521,34.1024]"
Славянский район,"[45.2500,38.1167]"
Славянск-на-Кубани,"[45.2603,38.1266]"
Сланцевский район,"[59.1167,28.0833]"
Сланцы,"[59.1167,28.0833]"
Смоленск,"[54.7826,32.0453]"
Смоленская область,"[54.7826,32.0453]"
Снежинск,"[56.0850,60.7314]"
Советск,"[55.0833,21.8833]"
Соликамск,"[59.6333,56.7667]"
Солнечногорск,"[56.1833,37.0000]"
Солнечногорский район,"[56.1833,37.0000]"
Сортавала,"[61.7000,30.6667]"
Сортавальский район,"[61.7000,30.6667]"
Сосновый Бор,"[59.8833,29.0667]"
Спасск-Дальний,"[44.6000,132.8167]"
Ставрополь,"[45.0500,41.9833]"
Старая Купавна,"[55.8000,38.1667]"
Старая Русса,"[57.9833,31.3500]"
Старорусский район,"[57.9833,31.3500]"
Стерлитамак,"[53.6333,55.9500]"
Строитель,"[50.7833,36.4833]"
Ступино,"[54.9000,38.0667]"
Ступино (городской округ),"[54.9000,38.0667]"
Судак,"[44.8500,34.9667]"
Сурхандарьинская область,"[37.9333,67.0000]"
Сызрань,"[53.1667,48.4667]"
Сырдарьинская область,"[40.5000,68.7500]"
Таганрог,"[47.2167,38.9167]"
Тайшет,"[55.9340,98.0084]"
Тайшетский район,"[55.9340,98.0084]"
Талдыкорган,"[45.0165,78.3739]"
Тамбов,"[52.7212,41.4523]"
Тараз,"[42.9017,71.3656]"
Тараз и Жамбылская область,"[42.9017,71.3656]"
Ташкентская область,"[41.2213,69.8597]"
Тверская область,"[56.8587,35.9176]"
Тверь,"[56.8587,35.9176]"
Темиртау,"[50.0549,72.9666]"
Термез,"[37.2304,67.2805]"
Тимашевск,"[45.6220,38.9461]"
Тимашевский район,"[45.6220,38.9461]"
Тихвин,"[59.6445,33.5422]"
Тихвинский район,"[59.6445,33.5422]"
Тихорецк,"[45.8547,40.1256]"
Тихорецкий район,"[45.8547,40.1256]"
Тобольск,"[58.1981,68.2635]"
Толебийский район,"[42.5000,69.7500]"
Тольятти,"[53.5078,49.4204]"
Томская область,"[56.4846,84.9476]"
Тосненский район,"[59.5400,30.8800]"
Тосно,"[59.5400,30.8800]"
Туапсе,"[44.0968,39.0735]"
